tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010400100,06001400100,G0600010400100,06001400100,0.9933581979,0.9835371779,0.983670718,0.9855476934,0.9826053293,0.9823487772,0.9850087674,0.9688959224
G0600010400100,06001400100,G0600010422700,06001422700,0.0007430248,0.0047459587,0.0051284567,0.0027462335,0.0065895575,0.0070783982,0.0038986358,0.021938795
G0600010400100,06001400100,G0600010423700,06001423700,0.0006337267,0.0003926174,0.0004136774,0.0004283541,0.0004381156,0.000412381,0.0004643695,0.0002883609
G0600010400100,06001400100,G0600010423800,06001423800,0.0020303768,0.011324246,0.0107871479,0.011277719,0.0103669976,0.0101604435,0.0106282273,0.0088769218
G0600010400100,06001400100,G0600010982100,06001982100,0.0001098748,0,0,0,0,0,0,0
G0600010400100,06001400100,G0600130354001,06013354001,0.003124799,0,0,0,0,0,0,0
G0600010400200,06001400200,G0600010400200,06001400200,0.986748453,0.9814622472,0.9811521727,0.9806155665,0.9788747021,0.9793422094,0.9799151499,0.9773558874
G0600010400200,06001400200,G0600010423800,06001423800,0.013251547,0.0185377528,0.0188478273,0.0193844335,0.0211252979,0.0206577906,0.0200848501,0.0226441126
G0600010400300,06001400300,G0600010400300,06001400300,1,1,1,1,1,1,1,1
G0600010400400,06001400400,G0600010400400,06001400400,0.9987260043,0.998048697,0.9978427226,0.9986628504,0.9977631493,0.99757873,0.9988052089,0.9970123424
G0600010400400,06001400400,G0600010423800,06001423800,0.0012739957,0.001951303,0.0021572774,0.0013371496,0.0022368507,0.00242127,0.0011947911,0.0029876576
G0600010400500,06001400500,G0600010400500,06001400500,0.9968302747,0.9971552987,0.9971132997,0.9978569549,0.9962327089,0.9961487863,0.9984678359,0.9948317221
G0600010400500,06001400500,G0600010423901,06001423901,0.0031697253,0.0028447013,0.0028867003,0.0021430451,0.0037672911,0.0038512137,0.0015321641,0.0051682779
G0600010400600,06001400600,G0600010400600,06001400600,1,1,1,1,1,1,1,1
G0600010400700,06001400700,G0600010400700,06001400700,0.9766132841,0.9943719537,0.9942281466,0.9942550212,0.9939015773,0.9937832389,0.9952551128,0.9930056291
G0600010400700,06001400700,G0600010400800,06001400800,0.016600005,0,0,0,0,0,0,0
G0600010400700,06001400700,G0600010423901,06001423901,0.0010153257,0.000437515,0.0004139254,0.0005382083,0.000518244,0.0005482526,0.0003933771,0.0006008973
G0600010400700,06001400700,G0600010424001,06001424001,0.0055169833,0.0048615028,0.0050373648,0.0048043297,0.0052197018,0.0052995521,0.0038706968,0.006112651
G0600010400700,06001400700,G0600010424002,06001424002,0.0000524775,0,0,0,0,0,0,0
G0600010400700,06001400700,G0600010425104,06001425104,0.0002019243,0.0003290284,0.0003205632,0.0004024409,0.000360477,0.0003689563,0.0004808132,0.0002808226
G0600010400800,06001400800,G0600010400800,06001400800,0.9898210242,0.983751704,0.9855709184,0.9801128777,0.9848417839,0.9839983485,0.9902891804,0.9820656059
G0600010400800,06001400800,G0600010424002,06001424002,0.0101789758,0.016248296,0.0144290816,0.0198871223,0.0151582161,0.0160016515,0.0097108196,0.0179343941
G0600010400900,06001400900,G0600010400800,06001400800,0.0310028517,0.0039096438,0.004787234,0.0021978022,0.0019627085,0.0017346054,0,0.0030911901
G0600010400900,06001400900,G0600010400900,06001400900,0.9545712931,0.9850154119,0.9856759049,0.9860023994,0.988166369,0.9883739309,0.9923463244,0.9857630562
G0600010400900,06001400900,G0600010425104,06001425104,0.0144258552,0.0110749443,0.0095368611,0.0117997984,0.0098709224,0.0098914637,0.0076536756,0.0111457537
G0600010401000,06001401000,G0600010401000,06001401000,0.9961365929,0.9881013187,0.9882369685,0.9888256836,0.9892089642,0.9890161351,0.9923504737,0.9878274687
G0600010401000,06001401000,G0600010425104,06001425104,0.0038634071,0.0118986813,0.0117630315,0.0111743164,0.0107910358,0.0109838649,0.0076495263,0.0121725313
G0600010401100,06001401100,G0600010400300,06001400300,0.0056505559,0.0033686237,0.0038188762,0,0.0019930244,0.0018630647,0,0.0025740026
G0600010401100,06001401100,G0600010401000,06001401000,0.0052948473,0,0,0,0,0,0,0
G0600010401100,06001401100,G0600010401100,06001401100,0.9890545967,0.9966313763,0.9961811238,1,0.9980069756,0.9981369353,1,0.9974259974
G0600010401200,06001401200,G0600010401100,06001401100,0.000375074,0,0,0,0,0.0007716049,0,0
G0600010401200,06001401200,G0600010401200,06001401200,0.999624926,1,1,1,1,0.9992283951,1,1
G0600010401300,06001401300,G0600010401300,06001401300,1,1,1,1,1,1,1,1
G0600010401400,06001401400,G0600010401000,06001401000,0.0000487973,0.0000039998,0.0000040363,0.0000047469,0.0000061802,0.0000058691,0,0.0000080782
G0600010401400,06001401400,G0600010401300,06001401300,0.0045276022,0,0,0,0,0,0,0
G0600010401400,06001401400,G0600010401400,06001401400,0.9954236005,0.9999960002,0.9999959637,0.9999952531,0.9999938198,0.9999941309,1,0.9999919218
G0600010401500,06001401500,G0600010401500,06001401500,1,1,1,1,1,1,1,1
G0600010401600,06001401600,G0600010401600,06001401600,1,1,1,1,1,1,1,1
G0600010401700,06001401700,G0600010401700,06001401700,0.9851044583,0.999133864,0.9989212043,0.9999315203,0.9978602646,0.9982259828,0.9978067877,0.9979033639
G0600010401700,06001401700,G0600010425101,06001425101,0.0109264531,0.0007499063,0.0009385265,0,0.0019361084,0.0015267176,0.0021691974,0.0017482517
G0600010401700,06001401700,G0600010425102,06001425102,0.0029161702,0,0,0,0,0,0,0
G0600010401700,06001401700,G0600010425104,06001425104,0.0010529184,0.0001162297,0.0001402692,0.0000684797,0.000203627,0.0002472996,0.0000240149,0.0003483843
G0600010401800,06001401800,G0600010401800,06001401800,1,1,1,1,1,1,1,1
G0600010402200,06001402200,G0600010401700,06001401700,0.0023536648,0,0,0,0,0,0,0
G0600010402200,06001402200,G0600010401800,06001401800,0.0033451251,0,0,0,0,0,0,0
G0600010402200,06001402200,G0600010402200,06001402200,0.9943012101,1,1,1,1,1,1,1
G0600010402400,06001402400,G0600010402400,06001402400,1,1,1,1,1,1,1,1
G0600010402500,06001402500,G0600010402500,06001402500,1,1,1,1,1,1,1,1
G0600010402600,06001402600,G0600010402600,06001402600,1,1,1,1,1,1,1,1
G0600010402700,06001402700,G0600010402700,06001402700,0.970896937,0.9987253027,0.9982920581,1,1,1,1,1
G0600010402700,06001402700,G0600010402801,06001402801,0.029103063,0.0012746973,0.0017079419,0,0,0,0,0
G0600010402800,06001402800,G0600010402801,06001402801,0.7023431439,0.5710014948,0.5495798319,0.7336561743,0.5362962963,0.5714285714,0.2815533981,0.5499479709
G0600010402800,06001402800,G0600010402802,06001402802,0.2976568561,0.4289985052,0.4504201681,0.2663438257,0.4637037037,0.4285714286,0.7184466019,0.4500520291
G0600010402900,06001402900,G0600010402900,06001402900,1,1,1,1,1,1,1,1
G0600010403000,06001403000,G0600010403000,06001403000,1,1,1,1,1,1,1,1
G0600010403100,06001403100,G0600010403100,06001403100,1,1,1,1,1,1,1,1
G0600010403300,06001403300,G0600010403301,06001403301,0.2144798266,0.4030587074,0.3821815154,0.4581901489,0.32375852,0.3170840787,0.1762376238,0.3718528083
G0600010403300,06001403300,G0600010403302,06001403302,0.7846583179,0.5969412926,0.6178184846,0.5418098511,0.67624148,0.6829159213,0.8237623762,0.6281471917
G0600010403300,06001403300,G0600010406000,06001406000,0.0008618555,0,0,0,0,0,0,0
G0600010403400,06001403400,G0600010402900,06001402900,0.023080791,0,0,0,0,0,0,0
G0600010403400,06001403400,G0600010403401,06001403401,0.827551217,0.6746261457,0.6741164241,0.6916299559,0.680427571,0.6825138391,0.9858757062,0.6345909284
G0600010403400,06001403400,G0600010403402,06001403402,0.1493679919,0.3253738543,0.3258835759,0.3083700441,0.319572429,0.3174861609,0.0141242938,0.3654090716
G0600010403501,06001403501,G0600010403501,06001403501,1,1,1,1,1,1,1,1
G0600010403502,06001403502,G0600010403502,06001403502,0.9927162916,1,1,1,1,1,1,1
G0600010403502,06001403502,G0600010403600,06001403600,0.0072837084,0,0,0,0,0,0,0
G0600010403600,06001403600,G0600010403600,06001403600,0.9963645973,1,1,1,1,1,1,1
G0600010403600,06001403600,G0600010403702,06001403702,0.0036354027,0,0,0,0,0,0,0
G0600010403701,06001403701,G0600010403701,06001403701,1,1,1,1,1,1,1,1
G0600010403702,06001403702,G0600010403600,06001403600,0.0155866403,0,0,0,0,0,0,0
G0600010403702,06001403702,G0600010403702,06001403702,0.9844133597,1,1,1,1,1,1,1
G0600010403800,06001403800,G0600010403800,06001403800,0.9911483665,0.992836978,0.9934606748,0.9905376899,0.9951782444,0.9951838852,0.988876645,0.9989267495
G0600010403800,06001403800,G0600010426100,06001426100,0.007593425,0.0066078724,0.0059968766,0.0089560208,0.004240563,0.0042329597,0.0107292333,0.0003807788
G0600010403800,06001403800,G0600010426200,06001426200,0.0012582084,0.0005551496,0.0005424486,0.0005062893,0.0005811926,0.0005831551,0.0003941217,0.0006924717
G0600010403900,06001403900,G0600010403900,06001403900,0.9963528354,0.9985535723,0.998503121,0.9986068335,0.9984206119,0.9984587384,0.9975271355,0.9988922052
G0600010403900,06001403900,G0600010426200,06001426200,0.0036471646,0.0014464277,0.001496879,0.0013931665,0.0015793881,0.0015412616,0.0024728645,0.0011077948
G0600010404000,06001404000,G0600010403501,06001403501,0.0039287435,0,0,0,0,0,0,0
G0600010404000,06001404000,G0600010404000,06001404000,0.9960712565,1,1,1,1,1,1,1
G0600010404101,06001404101,G0600010404101,06001404101,0.9896400892,0.9888320685,0.9898225734,0.9817018662,0.9910813213,0.991917094,0.9854397066,0.9943835972
G0600010404101,06001404101,G0600010404200,06001404200,0.0069280491,0.0075110959,0.0069124424,0.0145454545,0.0054744526,0.0049477735,0.0115321252,0.0019286403
G0600010404101,06001404101,G0600010426200,06001426200,0.0034318617,0.0036568355,0.0032649842,0.0037526792,0.0034442261,0.0031351325,0.0030281682,0.0036877625
G0600010404102,06001404102,G0600010404102,06001404102,1,1,1,1,1,1,1,1
G0600010404200,06001404200,G0600010404200,06001404200,0.9935127142,0.9911738674,0.9903241955,0.9899641714,0.9896065161,0.989563693,0.9911976556,0.9821347902
G0600010404200,06001404200,G0600010426100,06001426100,0.0064872858,0.0088261326,0.0096758045,0.0100358286,0.0103934839,0.010436307,0.0088023444,0.0178652098
G0600010404300,06001404300,G0600010404300,06001404300,0.9947591126,0.9975132538,0.9973912469,0.9973565261,0.9973830219,0.9974918282,0.997326236,0.9976228094
G0600010404300,06001404300,G0600010423800,06001423800,0.0052408874,0.0024867462,0.0026087531,0.0026434739,0.0026169781,0.0025081718,0.002673764,0.0023771906
G0600010404400,06001404400,G0600010404300,06001404300,0.0004586728,0,0,0,0,0,0,0
G0600010404400,06001404400,G0600010404400,06001404400,0.9992007644,0.9999124109,0.9999215889,0.9999283999,0.9999416476,0.9999304761,0.9999289988,1
G0600010404400,06001404400,G0600130353001,06013353001,0.0003405628,0.0000875891,0.0000784111,0.0000716001,0.0000583524,0.0000695239,0.0000710012,0
G0600010404501,06001404501,G0600010404400,06001404400,0.0084408787,0,0,0,0,0,0,0
G0600010404501,06001404501,G0600010404501,06001404501,0.9687813605,0.9773286898,0.9777418054,0.9774763891,0.97771652,0.9776343349,0.9759694096,0.9917853565
G0600010404501,06001404501,G0600010426100,06001426100,0.0227777608,0.0226713102,0.0222581946,0.0225236109,0.02228348,0.0223656651,0.0240305904,0.0082146435
G0600010404502,06001404502,G0600010404502,06001404502,0.9921698578,0.9927384319,0.9929884328,0.9924763141,0.9926318476,0.9929354771,0.9980599632,0.963254487
G0600010404502,06001404502,G0600010404600,06001404600,0.007781544,0.0072614108,0.0070113935,0.007523511,0.0073679902,0.0070643642,0.0019398642,0.0367454068
G0600010404502,06001404502,G0600130353001,06013353001,0.0000485982,0.0000001573,0.0000001737,0.000000175,0.0000001622,0.0000001587,0.0000001726,0.0000001061
G0600010404600,06001404600,G0600010404600,06001404600,0.9864798008,0.9999967929,0.9999960138,0.9999977836,0.999995347,0.9999955139,0.9999948994,0.9999999986
G0600010404600,06001404600,G0600010430102,06001430102,0.0098048381,0.0000032071,0.0000039862,0.0000022164,0.000004653,0.0000044861,0.0000051006,0.0000000014
G0600010404600,06001404600,G0600130352202,06013352202,0.0037153611,0,0,0,0,0,0,0
G0600010404700,06001404700,G0600010404501,06001404501,0.003013347,0.0007820169,0.0009833082,0.0014018908,0.0009432475,0.0009260976,0.0010715715,0
G0600010404700,06001404700,G0600010404700,06001404700,0.9914931408,0.9989764585,0.9987129987,0.9981651376,0.9987654321,0.9987878788,0.9985974755,1
G0600010404700,06001404700,G0600010426100,06001426100,0.0054935123,0.0002415246,0.000303693,0.0004329715,0.0002913204,0.0002860236,0.000330953,0
G0600010404800,06001404800,G0600010404800,06001404800,1,1,1,1,1,1,1,1
G0600010404900,06001404900,G0600010404900,06001404900,0.9993180976,0.9996698824,0.9996813121,0.9996647412,0.9997237571,0.9997243855,0.9996824363,0.9997769627
G0600010404900,06001404900,G0600010426100,06001426100,0.0006819024,0.0003301176,0.0003186879,0.0003352588,0.0002762429,0.0002756145,0.0003175637,0.0002230373
G0600010405000,06001405000,G0600010405000,06001405000,0.9914859195,0.9919011673,0.9926871828,0.9914878541,0.9933855422,0.9936172381,0.992657386,0.9945841585
G0600010405000,06001405000,G0600010426100,06001426100,0.0085140805,0.0080988327,0.0073128172,0.0085121459,0.0066144578,0.0063827619,0.007342614,0.0054158415
G0600010405100,06001405100,G0600010405100,06001405100,0.9969137027,0.9990249588,0.999129101,0.998969715,0.9990849804,0.9990921097,0.9990876239,0.9990603423
G0600010405100,06001405100,G0600010426100,06001426100,0.0030862973,0.0009750412,0.000870899,0.001030285,0.0009150196,0.0009078903,0.0009123761,0.0009396577
G0600010405200,06001405200,G0600010405000,06001405000,0.0003507672,0,0,0,0,0,0,0
G0600010405200,06001405200,G0600010405200,06001405200,0.9996492328,1,1,1,1,1,1,1
G0600010405301,06001405301,G0600010405301,06001405301,1,1,1,1,1,1,1,1
G0600010405302,06001405302,G0600010405302,06001405302,1,1,1,1,1,1,1,1
G0600010405401,06001405401,G0600010405401,06001405401,1,1,1,1,1,1,1,1
G0600010405402,06001405402,G0600010405402,06001405402,1,1,1,1,1,1,1,1
G0600010405500,06001405500,G0600010405500,06001405500,1,1,1,1,1,1,1,1
G0600010405600,06001405600,G0600010405600,06001405600,1,1,1,1,1,1,1,1
G0600010405700,06001405700,G0600010405700,06001405700,1,1,1,1,1,1,1,1
G0600010405800,06001405800,G0600010405800,06001405800,1,1,1,1,1,1,1,1
G0600010405901,06001405901,G0600010405901,06001405901,1,1,1,1,1,1,1,1
G0600010405902,06001405902,G0600010405902,06001405902,1,1,1,1,1,1,1,1
G0600010406000,06001406000,G0600010406000,06001406000,0.9998381602,1,1,1,1,1,1,1
G0600010406000,06001406000,G0600010406100,06001406100,0.0001618398,0,0,0,0,0,0,0
G0600010406000,06001406000,G0600010427200,06001427200,0,0,0,0,0,0,0,0
G0600010406000,06001406000,G0600010427300,06001427300,0,0,0,0,0,0,0,0
G0600010406100,06001406100,G0600010406100,06001406100,1,1,1,1,1,1,1,1
G0600010406100,06001406100,G0600010427100,06001427100,0,0,0,0,0,0,0,0
G0600010406201,06001406201,G0600010406201,06001406201,1,1,1,1,1,1,1,1
G0600010406202,06001406202,G0600010406202,06001406202,1,1,1,1,1,1,1,1
G0600010406300,06001406300,G0600010406300,06001406300,1,1,1,1,1,1,1,1
G0600010406400,06001406400,G0600010406400,06001406400,1,1,1,1,1,1,1,1
G0600010406500,06001406500,G0600010406500,06001406500,1,1,1,1,1,1,1,1
G0600010406601,06001406601,G0600010406601,06001406601,1,1,1,1,1,1,1,1
G0600010406602,06001406602,G0600010406602,06001406602,1,1,1,1,1,1,1,1
G0600010406700,06001406700,G0600010406700,06001406700,1,1,1,1,1,1,1,1
G0600010406800,06001406800,G0600010406800,06001406800,1,1,1,1,1,1,1,1
G0600010406900,06001406900,G0600010406900,06001406900,1,1,1,1,1,1,1,1
G0600010407000,06001407000,G0600010407000,06001407000,1,1,1,1,1,1,1,1
G0600010407101,06001407101,G0600010407101,06001407101,1,1,1,1,1,1,1,1
G0600010407102,06001407102,G0600010407102,06001407102,1,1,1,1,1,1,1,1
G0600010407200,06001407200,G0600010407200,06001407200,1,1,1,1,1,1,1,1
G0600010407300,06001407300,G0600010407300,06001407300,1,1,1,1,1,1,1,1
G0600010407300,06001407300,G0600010427100,06001427100,0,0,0,0,0,0,0,0
G0600010407400,06001407400,G0600010407400,06001407400,1,1,1,1,1,1,1,1
G0600010407500,06001407500,G0600010407500,06001407500,1,1,1,1,1,1,1,1
G0600010407600,06001407600,G0600010407600,06001407600,1,1,1,1,1,1,1,1
G0600010407700,06001407700,G0600010407700,06001407700,0.9959400695,0.9993075217,0.9991650966,0.9988689138,0.9992260039,0.9992734779,0.9989595064,1
G0600010407700,06001407700,G0600010407800,06001407800,0.0040599305,0.0006924783,0.0008349034,0.0011310862,0.0007739961,0.0007265221,0.0010404936,0
G0600010407800,06001407800,G0600010407700,06001407700,0.0000113389,0.0000271988,0.000025181,0.0000383235,0.0000399282,0.0000402324,0.0000203817,0.0000806219
G0600010407800,06001407800,G0600010407800,06001407800,0.9865116049,0.9999728012,0.999974819,0.9999616765,0.9999600718,0.9999597676,0.9999796183,0.9999193781
